acc_no,LFMScore
ODI0000034,444
ODI0000067,444
ODI0000097,444
ODI0000135,444
ODI0000147,444
ODI0000151,444
ODI0000173,444
ODI0000202,444
ODI0000218,444
ODI0000251,444
ODI0000257,444
ODI0000267,444
ODI0000270,444
ODI0000277,444
ODI0000293,444
ODI0000299,444
ODI0000321,444
ODI0000351,444
ODI0000356,444
ODI0000368,444
ODI0000415,444
ODI0000436,444
ODI0000461,444
ODI0000484,444
ODI0000485,444
ODI0000486,444
ODI0000493,444
ODI0000525,444
ODI0000528,444
ODI0000546,444
ODI0000611,444
ODI0000623,444
ODI0000625,444
ODI0000630,444
ODI0000712,444
ODI0000739,444
ODI0000757,444
ODI0000846,444
ODI0000849,444
ODI0000948,444
ODI0000994,444
ODI0001001,444
ODI0001032,444
ODI0001057,444
ODI0001087,444
ODI0001097,444
ODI0001116,444
ODI0001120,444
ODI0001143,444
ODI0001198,444
ODI0001199,444
ODI0001217,444
ODI0001219,444
ODI0001226,444
ODI0001254,444
ODI0001296,444
ODI0001418,444
ODI0001443,444
ODI0001446,444
ODI0001473,444
ODI0001483,444
ODI0001597,444
ODI0001877,444
ODI0001973,444
ODI0002030,444
ODI0002095,444
ODI0002157,444
ODI0002174,444
ODI0002187,444
ODI0002217,444
ODI0002225,444
ODI0002286,444
ODI0002392,444
ODI0002428,444
ODI0002473,444
ODI0002498,444
ODI0002515,444
ODI0002567,444
ODI0002577,444
ODI0002637,444
ODI0002688,444
ODI0002756,444
ODI0002791,444
ODI0002820,444
ODI0002855,444
ODI0002859,444
ODI0003023,444
ODI0003278,444
ODI0003372,444
ODI0003506,444
ODI0003531,444
ODI0003941,444
ODI0003972,444
ODI0004292,444
ODI0004346,444
ODI0004360,444
ODI0004717,444
ODI0004881,444
ODI0004952,444
ODI0005146,444
ODI0005292,444
ODI0005309,444
ODI0005398,444
ODI0005470,444
ODI0005530,444
ODI0005622,444
ODI0005726,444
ODI0005735,444
ODI0005842,444
ODI0005937,444
ODI0006114,444
ODI0006279,444
ODI0006442,444
